Title | Actors | Genre | Keywords
Neelakuyil | Sathyan, Miss Kumari | Drama, Romance | village, love, caste, society
Randidangazhi | Sathyan, Sheela | Drama | farmers, poverty, village, struggle
Chemmeen | Madhu, Sathyan, Sheela | Drama, Romance | fishermen, sea, love, tragedy
Bhargavi Nilayam | Madhu, Vijaya Nirmala | Horror, Mystery | haunted house, writer, ghost, mystery
Murappennu | Madhu, Sheela | Drama, Romance | family, relationships, marriage, village
Thacholi Othenan | Sathyan, Sukumari | Action, Drama | warrior, martial arts, revenge, history
Kavyamela | Prem Nazir, Sheela | Drama, Romance | music, love, disability, family
Iruttinte Athmavu | Madhu, Prem Nazir | Drama | mental health, family, village, society
Yakshi | Sharada, Sathyan | Psychological, Mystery | mystery, marriage, suspicion, identity
Odayil Ninnu | Sathyan, Prem Nazir | Drama | rickshaw, poverty, fatherhood, society
Anubhavangal Paalichakal | Sathyan, Prem Nazir | Drama | workers, prison, family, struggle
Chemparathy | Madhu, Raghavan | Drama, Romance | family, love, class, relationships
Thulabharam | Madhu, Sarada | Drama | poverty, sacrifice, family, society
Adimakal | Prem Nazir, Sathyan, Sheela | Drama | slavery, family, village, struggle
Nadhi | Prem Nazir, Sharada | Romance, Drama | love, river, relationships, tragedy
Vazhve Mayam | Sathyan, Sheela | Drama | marriage, poverty, relationships, society
Kadalpalam | Sathyan, Prem Nazir | Drama | family, fishing, village, conflict
Achanum Bappayum | Kottarakkara Sreedharan Nair, Sheela | Drama | family, religion, fatherhood, conflict
Karutha Kai | Sathyan, Sheela | Crime, Mystery | crime, investigation, identity, suspense
Kannum Karalum | Sathyan, Ambika | Drama | family, children, relationships, sacrifice
