Title | Actors | Genre | Keywords
Traffic | Sreenivasan, Kunchacko Boban | Thriller, Drama | traffic, organ donation, police, teamwork
Salt N' Pepper | Lal, Shwetha Menon | Romance, Comedy | food, cooking, friendship, love
22 Female Kottayam | Rima Kallingal, Fahadh Faasil | Drama, Thriller | revenge, relationships, empowerment, crime
City of God | Indrajith Sukumaran, Prithviraj Sukumaran | Crime, Drama | city, gangs, relationships, crime
Chaappa Kurish | Fahadh Faasil, Vineeth Sreenivasan | Drama, Thriller | identity, mobile phone, relationships, city
Beautiful | Jayasurya, Anoop Menon | Drama | friendship, disability, relationships, music
Friday | Fahadh Faasil, Ann Augustine | Drama | city, relationships, coincidence, life
Trivandrum Lodge | Ananya, Jayasurya | Comedy, Drama | hotel, relationships, city, friendship
Amen | Fahadh Faasil, Indrajith Sukumaran | Comedy, Romance | music, village, church, love
North 24 Kaatham | Fahadh Faasil, Nedumudi Venu | Comedy, Drama | travel, anxiety, friendship, transformation
Neelakasham Pachakadal Chuvanna Bhoomi | Dulquer Salmaan, Sunny Wayne | Adventure, Drama | motorcycle, friendship, travel, journey
Bangalore Days | Dulquer Salmaan, Nivin Pauly | Drama, Romance | cousins, friendship, Bangalore, dreams
Maheshinte Prathikaaram | Fahadh Faasil, Aparna Balamurali | Comedy, Drama | revenge, village, photography, love
Kumbalangi Nights | Fahadh Faasil, Soubin Shahir | Drama | family, brothers, village, relationships
Thondimuthalum Driksakshiyum | Fahadh Faasil, Suraj Venjaramoodu | Comedy, Drama | theft, police, marriage, village
Angamaly Diaries | Antony Varghese, Anna Reshma Rajan | Crime, Drama | Angamaly, food, gangs, friendship
Ee.Ma.Yau | Chemban Vinod Jose, Vinayakan | Drama, Dark Comedy | funeral, village, family, death
Kumbalangi Nights | Soubin Shahir, Shane Nigam | Drama | brothers, family, village, relationships
Jallikattu | Antony Varghese, Vinayakan | Thriller, Drama | buffalo, village, chaos, survival
Thallumala | Tovino Thomas, Kalyani Priyadarshan | Action, Comedy | wedding, friendship, fights, youth
