Title | Actors | Genre | Keywords
Premam | Nivin Pauly, Sai Pallavi | Romance, Comedy | college, love, friendship, adulthood
Action Hero Biju | Nivin Pauly, Anu Emmanuel | Comedy, Crime | police, investigation, city, cases
Moothon | Nivin Pauly, Sanjana Dipu | Drama, Crime | Mumbai, identity, family, love
Thondimuthalum Driksakshiyum | Fahadh Faasil, Suraj Venjaramoodu | Comedy, Drama | theft, police, marriage, village
Maheshinte Prathikaaram | Fahadh Faasil, Aparna Balamurali | Comedy, Drama | revenge, village, photography, love
Kumbalangi Nights | Fahadh Faasil, Soubin Shahir | Drama | family, brothers, village, relationships
Joji | Fahadh Faasil, Baburaj | Crime, Drama | family, ambition, inheritance, crime
Trance | Fahadh Faasil, Nazriya Nazim | Drama, Thriller | religion, motivation, media, psychology
Take Off | Parvathy Thiruvothu, Kunchacko Boban | Drama, Thriller | nurses, Iraq, war, rescue
Uyare | Parvathy Thiruvothu, Tovino Thomas | Drama, Romance | aviation, acid attack, resilience, career
Virus | Kunchacko Boban, Parvathy Thiruvothu | Drama, Thriller | epidemic, doctors, Kerala, teamwork
Nayattu | Kunchacko Boban, Joju George | Crime, Thriller | police, politics, election, survival
Joseph | Joju George, Dileesh Pothan | Crime, Drama | retired police, murder, investigation, family
Nayakan | Indrajith Sukumaran, Thilakan | Drama, Crime | theatre, revenge, family, art
Ee.Ma.Yau | Chemban Vinod Jose, Vinayakan | Drama, Dark Comedy | funeral, village, family, death
Angamaly Diaries | Antony Varghese, Anna Reshma Rajan | Crime, Drama | Angamaly, food, gangs, friendship
Jallikattu | Antony Varghese, Vinayakan | Thriller, Drama | buffalo, village, chaos, survival
Ee Adutha Kaalathu | Indrajith Sukumaran, Murali Gopy | Thriller, Drama | crime, relationships, city, coincidence
Artist | Fahadh Faasil, Ann Augustine | Drama, Romance | art, disability, relationships, ambition
North 24 Kaatham | Fahadh Faasil, Nedumudi Venu | Comedy, Drama | travel, anxiety, friendship, transformation
