Title | Actors | Genre | Keywords
Bhargavi Nilayam | Madhu, Vijaya Nirmala | Horror, Mystery | haunted house, writer, ghost, mystery
Yakshi | Sharada, Sathyan | Psychological, Horror | mystery, marriage, suspicion, identity
Athishayam | Prithviraj Sukumaran, Kavya Madhavan | Horror, Fantasy | ghost, mystery, supernatural, village
Manichitrathazhu | Mohanlal, Shobana | Horror, Psychological | haunted mansion, possession, psychology, mystery
Mayaavi | Mammootty, Manoj K. Jayan | Comedy, Fantasy | ghost, village, magic, friendship
Anandabhadram | Prithviraj Sukumaran, Kavya Madhavan | Fantasy, Horror | magic, spirits, village, folklore
Ezra | Prithviraj Sukumaran, Priya Anand | Horror, Thriller | dybbuk, antique box, spirit, mystery
Pretham | Jayasurya, Aju Varghese | Horror, Comedy | ghost, friends, psychology, supernatural
Pretham 2 | Jayasurya, Sidhartha Siva | Horror, Comedy | ghost, friends, supernatural, mystery
Romancham | Soubin Shahir, Arjun Ashokan | Horror, Comedy | friends, hostel, ouija, ghosts
Bhoothakaalam | Shane Nigam, Revathi | Horror, Drama | haunted house, grief, family, psychology
Bramayugam | Mammootty, Arjun Ashokan | Horror, Thriller | folklore, mansion, mystery, survival
The Priest | Mammootty, Manju Warrier | Horror, Mystery | priest, murders, ghosts, investigation
9 | Prithviraj Sukumaran, Wamiqa Gabbi | Sci-Fi, Horror | space, experiment, family, supernatural
Winter | Prithviraj Sukumaran, Jayaram | Horror, Thriller | house, family, survival, mystery
Aakasha Ganga | Divya Unni, Mayoori | Horror, Drama | ghost, village, revenge, supernatural
Aakasha Ganga 2 | Veena Nandakumar, Vishnu Vinay | Horror | ghost, mansion, revenge, supernatural
Manthrikacheppu | Mohanlal, Priya Raman | Horror, Fantasy | magic, village, mystery, supernatural
Vellinakshatram | Prithviraj Sukumaran, Karthika | Horror, Mystery | ghost, child, mansion, reincarnation
Winter | Prithviraj Sukumaran, Bhavana | Horror, Thriller | house, family, mystery, survival
