Title | Actors | Genre | Keywords
Manjil Virinja Pookkal | Shankar, Poornima Jayaram, Mohanlal | Romance, Thriller | love triangle, revenge, mystery, youth
Yavanika | Bharath Gopi, Mammootty | Mystery, Drama | theatre, murder, investigation, secrets
Kireedam | Mohanlal, Thilakan | Drama | father-son, police, crime, tragedy
Dasharatham | Mohanlal, Sukumaran | Drama | surrogacy, family, fatherhood, relationships
Nadodikkattu | Mohanlal, Sreenivasan | Comedy | unemployment, friendship, Dubai, mistaken identity
Vellanakalude Nadu | Mohanlal, Shobana | Comedy, Drama | politics, corruption, city, satire
Chithram | Mohanlal, Ranjini | Comedy, Romance | marriage, music, mystery, family
Kireedamillatha Rajakkanmar | Mohanlal, Sreenivasan | Comedy | politics, friendship, mistaken identity, crime
Doore Doore Oru Koodu Koottam | Mohanlal, Sreenivasan | Comedy, Drama | unemployment, friendship, ambition, city
Gandhinagar 2nd Street | Mohanlal, Sreenivasan | Comedy | housing, friendship, neighborhood, romance
Sanmanassullavarkku Samadhanam | Mohanlal, Karthika | Comedy, Drama | house, tenants, family, conflict
T. P. Balagopalan M.A. | Mohanlal, Shobana | Drama, Comedy | unemployment, family, middle class, love
Nadodikkattu | Mohanlal, Sreenivasan | Comedy | friends, unemployment, Dubai, adventure
Vandanam | Mohanlal, Girija Shettar | Comedy, Romance | police, love, investigation, comedy
Chenkol | Mohanlal, Thilakan | Drama | crime, prison, family, redemption
Aaram Thamburan | Mohanlal, Narendra Prasad | Action, Drama | feudalism, music, revenge, village
Oru Vadakkan Veeragatha | Mammootty, Suresh Gopi | Historical, Drama | warrior, Kerala, revenge, history
Mathilukal | Mammootty, Murali | Drama, Romance | prison, letters, loneliness, love
Vidheyan | Mammootty, Gopalakrishnan | Drama | landlord, servant, power, oppression
Namukku Parkkan Munthiri Thoppukal | Mohanlal, Shari | Romance, Drama | love, family, vineyard, relationships
