Title | Actors | Genre | Keywords
Vatsalyam | Mammootty, Geethu Mohandas | Drama | family, brotherhood, sacrifice, village
Achaneyanenikkishtam | Mohanlal, Karthika | Family, Drama | father, children, family, relationships
Dasharatham | Mohanlal, Sukumaran | Drama | surrogacy, family, fatherhood, relationships
Kireedam | Mohanlal, Thilakan | Drama | father-son, police, crime, tragedy
Chenkol | Mohanlal, Thilakan | Drama | crime, prison, family, redemption
Kaliyoonjal | Mammootty, Shobana | Drama, Romance | family, love, childhood, relationships
Ayalathe Adheham | Jayaram, Gautami | Comedy, Drama | marriage, friendship, family, village
Njangal Santhushtaranu | Jayaram, Abhirami | Comedy, Family | marriage, family, relationships, humor
Friends | Jayaram, Sreenivasan | Comedy, Drama | friendship, family, relationships, village
Chronic Bachelor | Mammootty, Mukesh | Comedy, Romance | bachelor, family, friendship, marriage
Jacobinte Swargarajyam | Nivin Pauly, Renji Panicker | Drama | family, Dubai, business, resilience
Home | Indrans, Sreenath Bhasi | Drama, Comedy | family, technology, relationships, parents
Joji | Fahadh Faasil, Baburaj | Crime, Drama | family, ambition, inheritance, crime
Kumbalangi Nights | Fahadh Faasil, Soubin Shahir | Drama | family, brothers, village, relationships
The Great Indian Kitchen | Nimisha Sajayan, Suraj Venjaramoodu | Drama | marriage, patriarchy, household, freedom
Kaathal – The Core | Mammootty, Jyothika | Drama | marriage, identity, family, society
Neru | Mohanlal, Priyamani | Legal, Drama | courtroom, justice, disability, investigation
Puzhu | Mammootty, Parvathy Thiruvothu | Drama, Thriller | family, caste, control, relationships
Aarkkariyam | Biju Menon, Parvathy Thiruvothu | Mystery, Drama | family, secrets, murder, past
Varane Avashyamund | Dulquer Salmaan, Kalyani Priyadarshan | Romance, Comedy | family, neighbors, love, relationships
