Title | Actors | Genre | Keywords
Chappa Kurish | Fahadh Faasil, Vineeth Sreenivasan | Drama, Thriller | identity, mobile phone, relationships, city
22 Female Kottayam | Fahadh Faasil, Rima Kallingal | Drama, Thriller | revenge, relationships, empowerment, crime
Artist | Fahadh Faasil, Ann Augustine | Drama, Romance | art, disability, relationships, ambition
North 24 Kaatham | Fahadh Faasil, Nedumudi Venu | Comedy, Drama | travel, anxiety, friendship, transformation
Amen | Fahadh Faasil, Indrajith Sukumaran | Comedy, Romance | music, village, church, love
Maheshinte Prathikaaram | Fahadh Faasil, Aparna Balamurali | Comedy, Drama | revenge, village, photography, love
Thondimuthalum Driksakshiyum | Fahadh Faasil, Suraj Venjaramoodu | Comedy, Drama | theft, police, marriage, village
Carbon | Fahadh Faasil, Mamta Mohandas | Adventure, Mystery | treasure, forest, journey, mystery
Varathan | Fahadh Faasil, Aishwarya Lekshmi | Thriller, Drama | home, violence, survival, family
Kumbalangi Nights | Fahadh Faasil, Soubin Shahir | Drama | family, brothers, village, relationships
Trance | Fahadh Faasil, Nazriya Nazim | Drama, Thriller | motivation, religion, media, psychology
Joji | Fahadh Faasil, Baburaj | Crime, Drama | family, ambition, inheritance, crime
C U Soon | Fahadh Faasil, Roshan Mathew | Thriller, Mystery | online, technology, disappearance, investigation
Malik | Fahadh Faasil, Nimisha Sajayan | Crime, Drama | politics, community, coastal village, power
Irul | Fahadh Faasil, Darshana Rajendran | Mystery, Thriller | house, murder, suspects, investigation
Take Off | Fahadh Faasil, Parvathy Thiruvothu | Drama, Thriller | nurses, Iraq, war, rescue
Bangalore Days | Fahadh Faasil, Dulquer Salmaan | Drama, Romance | cousins, friendship, Bangalore, dreams
Monsoon Mangoes | Fahadh Faasil, Vinay Forrt | Comedy, Drama | filmmaking, ambition, friendship, cinema
North 24 Kaatham | Fahadh Faasil, Swathi Reddy | Comedy, Drama | travel, anxiety, friendship, transformation
Aavesham | Fahadh Faasil, Hipzster | Action, Comedy | college, friendship, gangster, Bangalore
