Title | Actors | Genre | Keywords
Ayyappanum Koshiyum | Prithviraj Sukumaran, Biju Menon | Action, Drama | police, ego, village, conflict
Kurup | Dulquer Salmaan, Sobhita Dhulipala | Crime, Thriller | fraud, fugitive, mystery, crime
Salute | Dulquer Salmaan, Diana Penty | Crime, Thriller | police, murder, investigation, family
King of Kotha | Dulquer Salmaan, Shabeer Kallarakkal | Action, Crime | gangster, town, revenge, friendship
Sita Ramam | Dulquer Salmaan, Mrunal Thakur | Romance, Drama | letters, war, love, mystery
Lucky Baskhar | Dulquer Salmaan, Meenakshi Chaudhary | Crime, Drama | banking, money, ambition, fraud
Kannum Kannum Kollaiyadithaal | Dulquer Salmaan, Ritu Varma | Romance, Crime | scam, friendship, technology, romance
Comrade in America | Dulquer Salmaan, Karthika Muralidharan | Adventure, Romance | travel, politics, love, migration
Soubin Shahir, Arjun Ashokan | Romancham | Horror, Comedy | friends, hostel, ouija, ghosts
Bhoothakaalam | Shane Nigam, Revathi | Horror, Drama | haunted house, grief, family, psychology
Bramayugam | Mammootty, Arjun Ashokan | Horror, Thriller | folklore, mansion, mystery, survival
Kishkindha Kaandam | Asif Ali, Vijayaraghavan | Mystery, Thriller | forest, family, disappearance, investigation
Aarkkariyam | Biju Menon, Parvathy Thiruvothu | Mystery, Drama | family, secrets, murder, past
Ela Veezha Poonchira | Soubin Shahir, Sudhi Koppa | Crime, Thriller | police, murder, hill station, investigation
Iratta | Joju George, Anjali | Crime, Thriller | twins, police, murder, identity
Kooman | Asif Ali, Renji Panicker | Crime, Thriller | police, village, investigation, theft
Kuttavum Shikshayum | Asif Ali, Sunny Wayne | Crime, Thriller | police, robbery, investigation, teamwork
Nna Thaan Case Kodu | Kunchacko Boban, Gayathrie Shankar | Comedy, Legal | court, theft, justice, satire
Sulaikha Manzil | Lukman Avaran, Anarkali Marikar | Romance, Drama | marriage, family, friendship, relationships
Madhura Manohara Moham | Rajisha Vijayan, Saiju Kurup | Comedy, Drama | family, marriage, secrets, relationships
