Title | Actors | Genre | Keywords
Rajamanikyam | Mammootty, Manoj K. Jayan | Comedy, Action | brotherhood, family, business, village
Big B | Mammootty, Manoj K. Jayan | Action, Crime | revenge, family, crime, city
Pokkiri Raja | Mammootty, Prithviraj Sukumaran | Action, Comedy | brothers, village, family, revenge
Pranchiyettan and the Saint | Mammootty, Innocent | Comedy, Drama | businessman, ambition, status, satire
Best Actor | Mammootty, Sruthi Krishnan | Comedy, Drama | actor, ambition, family, cinema
Kerala Varma Pazhassi Raja | Mammootty, Sarath Kumar | Historical, Action | warrior, British, resistance, history
Paleri Manikyam: Oru Pathirakolapathakathinte Katha | Mammootty, Shweta Menon | Mystery, Crime | murder, village, investigation, history
Peruchazhi | Mohanlal, Mukesh | Comedy, Political | politics, election, America, satire
Run Baby Run | Mohanlal, Amala Paul | Thriller, Drama | journalism, media, investigation, romance
Lucifer | Mohanlal, Prithviraj Sukumaran | Action, Political | politics, power, crime, family
Bro Daddy | Mohanlal, Prithviraj Sukumaran | Comedy, Family | family, marriage, father-son, relationships
Neru | Mohanlal, Priyamani | Legal, Drama | courtroom, justice, disability, investigation
RDX: Robert Dony Xavier | Shane Nigam, Antony Varghese | Action, Drama | martial arts, friendship, revenge, family
Aavesham | Fahadh Faasil, Hipzster | Action, Comedy | college, friendship, gangster, Bangalore
Romancham | Soubin Shahir, Arjun Ashokan | Horror, Comedy | friends, hostel, ouija, ghosts
Premalu | Naslen K. Gafoor, Mamitha Baiju | Romance, Comedy | love, friendship, Hyderabad, youth
Bangalore Days | Dulquer Salmaan, Nivin Pauly | Drama, Romance | cousins, friendship, Bangalore, dreams
Ustad Hotel | Dulquer Salmaan, Thilakan | Drama, Romance | food, family, dreams, relationships
Charlie | Dulquer Salmaan, Parvathy Thiruvothu | Romance, Adventure | mystery, travel, art, love
Kali | Dulquer Salmaan, Sai Pallavi | Romance, Thriller | marriage, anger, road trip, relationships
