Title | Actors | Genre | Keywords
Niram | Kunchacko Boban, Shalini | Romance, Drama | college, friendship, love, youth
Aniyathipravu | Kunchacko Boban, Shalini | Romance, Drama | love, family, elopement, youth
Niram | Kunchacko Boban, Shalini | Romance, Drama | friendship, love, college, family
Chronic Bachelor | Mammootty, Bhavana | Comedy, Romance | bachelor, family, marriage, friendship
Summer in Bethlehem | Suresh Gopi, Jayaram | Romance, Drama | family, friendship, love, mystery
Thenmavin Kombathu | Mohanlal, Shobana | Comedy, Romance | village, love, friendship, rivalry
Minnaram | Mohanlal, Shobana | Romance, Comedy | love, family, secrets, friendship
Chithram | Mohanlal, Ranjini | Romance, Comedy | marriage, music, mystery, family
Namukku Parkkan Munthiri Thoppukal | Mohanlal, Shari | Romance, Drama | love, family, vineyard, relationships
Thoovanathumbikal | Mohanlal, Sumalatha | Romance, Drama | love, rain, relationships, choices
Ayalum Njanum Thammil | Prithviraj Sukumaran, Samvrutha Sunil | Drama, Romance | friendship, medicine, mentorship, love
Thattathin Marayathu | Nivin Pauly, Isha Talwar | Romance, Drama | love, religion, college, youth
Om Shanti Oshana | Nivin Pauly, Nazriya Nazim | Romance, Comedy | college, crush, friendship, youth
Bangalore Days | Dulquer Salmaan, Nivin Pauly | Romance, Drama | cousins, friendship, Bangalore, dreams
Ustad Hotel | Dulquer Salmaan, Nithya Menen | Drama, Romance | food, family, dreams, love
Charlie | Dulquer Salmaan, Parvathy Thiruvothu | Romance, Adventure | mystery, travel, art, love
Mayaanadhi | Tovino Thomas, Aishwarya Lekshmi | Romance, Crime | love, crime, city, relationships
Premalu | Naslen K. Gafoor, Mamitha Baiju | Romance, Comedy | love, friendship, Hyderabad, youth
Hridayam | Pranav Mohanlal, Darshana Rajendran | Romance, Drama | college, love, friendship, adulthood
Varane Avashyamund | Dulquer Salmaan, Kalyani Priyadarshan | Romance, Comedy | family, neighbors, love, relationships
