Title | Actors | Genre | Keywords
Classmates | Prithviraj Sukumaran, Kavya Madhavan | Romance, Mystery | college, friendship, reunion, murder
Chocolate | Prithviraj Sukumaran, Roma | Romance, Comedy | college, friendship, romance, campus
Anwar | Prithviraj Sukumaran, Prakash Raj | Action, Crime | terrorism, friendship, revenge, investigation
Mumbai Police | Prithviraj Sukumaran, Jayasurya | Crime, Thriller | police, murder, memory, investigation
Memories | Prithviraj Sukumaran, Mia George | Crime, Thriller | police, serial killer, investigation, trauma
7th Day | Prithviraj Sukumaran, Anu Mohan | Mystery, Thriller | police, mystery, investigation, crime
Ayalum Njanum Thammil | Prithviraj Sukumaran, Pratap Pothen | Drama | doctors, friendship, mentorship, medicine
Indian Rupee | Prithviraj Sukumaran, Thilakan | Drama | money, real estate, ambition, family
Celluloid | Prithviraj Sukumaran, Mamta Mohandas | Historical, Drama | cinema, history, filmmaker, Kerala
Memories | Prithviraj Sukumaran, Mia George | Crime, Thriller | serial killer, police, investigation, trauma
Anarkali | Prithviraj Sukumaran, Biju Menon | Romance, Drama | love, navy, islands, sacrifice
Ennu Ninte Moideen | Prithviraj Sukumaran, Parvathy Thiruvothu | Romance, Drama | love, letters, true story, Kerala
Darvinte Parinamam | Prithviraj Sukumaran, Chemban Vinod Jose | Comedy, Drama | revenge, friendship, transformation, city
7th Day | Prithviraj Sukumaran, Anu Mohan | Thriller, Mystery | police, mystery, crime, investigation
Ezra | Prithviraj Sukumaran, Priya Anand | Horror, Thriller | dybbuk, antique box, spirit, mystery
Koode | Prithviraj Sukumaran, Parvathy Thiruvothu | Drama | siblings, family, grief, relationships
Driving Licence | Prithviraj Sukumaran, Suraj Venjaramoodu | Comedy, Drama | celebrity, driving, ego, conflict
Ayyappanum Koshiyum | Prithviraj Sukumaran, Biju Menon | Action, Drama | police, ego, village, conflict
Kaduva | Prithviraj Sukumaran, Vivek Oberoi | Action, Drama | revenge, police, rivalry, village
Kuruthi | Prithviraj Sukumaran, Roshan Mathew | Thriller, Drama | religion, conflict, survival, family
