Title | Actors | Genre | Keywords
Kireedam | Mohanlal, Thilakan | Drama | father-son, police, crime, tragedy
Dasharatham | Mohanlal, Sukumaran | Drama | surrogacy, family, fatherhood, relationships
Nadodikkattu | Mohanlal, Sreenivasan | Comedy | unemployment, friendship, Dubai, travel
Chithram | Mohanlal, Ranjini | Comedy, Romance | marriage, music, mystery, family
Vandanam | Mohanlal, Girija Shettar | Comedy, Romance | police, love, investigation, friendship
Devasuram | Mohanlal, Revathi | Action, Drama | feudalism, revenge, music, family
Spadikam | Mohanlal, Thilakan | Action, Drama | father-son, education, conflict, village
Aaram Thamburan | Mohanlal, Narendra Prasad | Action, Drama | feudalism, music, revenge, village
Narasimham | Mohanlal, N. F. Varghese | Action, Drama | revenge, family, politics, power
Ravanaprabhu | Mohanlal, Napoleon | Action, Drama | family, feudalism, revenge, village
Thanmathra | Mohanlal, Meera Vasudevan | Drama | memory, family, illness, relationships
Udayon | Mohanlal, Meena | Drama, Action | family, land, village, revenge
Naran | Mohanlal, Jagathy Sreekumar | Action, Drama | village, family, revenge, heroism
Drishyam | Mohanlal, Meena | Crime, Thriller, Drama | family, murder, investigation, protection
Lucifer | Mohanlal, Prithviraj Sukumaran | Action, Political | politics, power, crime, family
Bro Daddy | Mohanlal, Prithviraj Sukumaran | Comedy, Family | family, marriage, father-son, relationships
Neru | Mohanlal, Priyamani | Legal, Drama | courtroom, justice, disability, investigation
Empuraan | Mohanlal, Prithviraj Sukumaran | Action, Political | power, crime, politics, revenge
Munthirivallikal Thalirkkumbol | Mohanlal, Meena | Comedy, Family | marriage, family, romance, middle class
Oppam | Mohanlal, Samuthirakani | Crime, Thriller | blind man, murder, investigation, protection
