Title | Actors | Genre | Keywords
Thattathin Marayathu | Nivin Pauly, Isha Talwar | Romance, Drama | love, religion, college, youth
Oru Vadakkan Selfie | Nivin Pauly, Aju Varghese | Comedy | friends, travel, filmmaking, mistakes
Jacobinte Swargarajyam | Nivin Pauly, Renji Panicker | Drama | family, Dubai, business, resilience
Moothon | Nivin Pauly, Roshan Mathew | Drama, Crime | identity, Mumbai, family, sexuality
Sufiyum Sujatayum | Jayasurya, Aditi Rao Hydari | Romance, Drama | Sufi, dance, love, village
Kappela | Anna Ben, Sreenath Bhasi | Drama, Romance | online dating, travel, deception, relationships
Helen | Anna Ben, Lal | Thriller, Survival | cold, survival, family, rescue
June | Rajisha Vijayan, Joju George | Romance, Drama | adolescence, friendship, college, adulthood
Finals | Rajisha Vijayan, Suraj Venjaramoodu | Sports, Drama | cycling, family, ambition, competition
Stand Up | Rajisha Vijayan, Nimisha Sajayan | Drama | friendship, justice, harassment, empowerment
The Great Indian Kitchen | Nimisha Sajayan, Suraj Venjaramoodu | Drama | marriage, patriarchy, household, freedom
How Old Are You? | Manju Warrier, Kunchacko Boban | Drama | career, middle age, ambition, empowerment
Rani Padmini | Manju Warrier, Rima Kallingal | Adventure, Drama | friendship, travel, women, journey
Udaharanam Sujatha | Manju Warrier, Anaswara Rajan | Drama | mother, education, poverty, ambition
C U Soon | Fahadh Faasil, Roshan Mathew | Thriller, Mystery | online, technology, disappearance, investigation
Malik | Fahadh Faasil, Nimisha Sajayan | Crime, Drama | politics, community, coastal village, power
Trance | Fahadh Faasil, Nazriya Nazim | Drama, Thriller | motivation, religion, media, psychology
Carbon | Fahadh Faasil, Mamta Mohandas | Adventure, Mystery | treasure, forest, journey, mystery
Varathan | Fahadh Faasil, Aishwarya Lekshmi | Thriller, Drama | home, violence, survival, family
Mayaanadhi | Tovino Thomas, Aishwarya Lekshmi | Romance, Crime | love, crime, city, relationships
