Title | Actors | Genre | Keywords
Premalu | Naslen K. Gafoor, Mamitha Baiju | Romance, Comedy | love, friendship, Hyderabad, youth
Aavesham | Fahadh Faasil, Hipzster | Action, Comedy | college, friendship, gangster, Bangalore
Manjummel Boys | Soubin Shahir, Sreenath Bhasi | Adventure, Thriller | friends, cave, rescue, survival
2018 | Tovino Thomas, Kunchacko Boban | Disaster, Drama | flood, Kerala, rescue, survival
RDX: Robert Dony Xavier | Shane Nigam, Antony Varghese | Action, Drama | martial arts, friendship, revenge, family
Romancham | Soubin Shahir, Arjun Ashokan | Horror, Comedy | friends, hostel, ouija, ghosts
Bramayugam | Mammootty, Arjun Ashokan | Horror, Thriller | folklore, mansion, mystery, survival
Aadujeevitham | Prithviraj Sukumaran, Amala Paul | Drama, Survival | desert, migration, survival, hardship
Aavesham | Fahadh Faasil, Sajin Gopu | Action, Comedy | college, gangster, friendship, Bangalore
Nna Thaan Case Kodu | Kunchacko Boban, Gayathrie Shankar | Comedy, Legal | court, theft, justice, satire
Kishkindha Kaandam | Asif Ali, Vijayaraghavan | Mystery, Thriller | forest, family, disappearance, investigation
Iratta | Joju George, Anjali | Crime, Thriller | twins, police, murder, identity
Kannur Squad | Mammootty, Rony David | Crime, Thriller | police, investigation, murder, travel
Kaathal – The Core | Mammootty, Jyothika | Drama | marriage, identity, family, society
Rorschach | Mammootty, Grace Antony | Psychological, Thriller | revenge, mystery, identity, psychology
Jana Gana Mana | Prithviraj Sukumaran, Suraj Venjaramoodu | Legal, Political | courtroom, justice, politics, crime
Thallumala | Tovino Thomas, Kalyani Priyadarshan | Action, Comedy | wedding, friendship, fights, youth
Kaduva | Prithviraj Sukumaran, Vivek Oberoi | Action, Drama | revenge, police, rivalry, village
Kurup | Dulquer Salmaan, Sobhita Dhulipala | Crime, Thriller | fraud, fugitive, mystery, crime
Home | Indrans, Sreenath Bhasi | Drama, Comedy | family, technology, relationships, parents
