Title | Actors | Genre | Keywords
Oru CBI Diary Kurippu | Mammootty, Suresh Gopi | Crime, Mystery | CBI, murder, investigation, clues
Jagratha | Mammootty, Suresh Gopi | Crime, Mystery | CBI, murder, investigation, evidence
Sethurama Iyer CBI | Mammootty, Sreenivasan | Crime, Mystery | CBI, murder, investigation, clues
Nerariyan CBI | Mammootty, Mukesh | Crime, Mystery | CBI, murder, investigation, mystery
The Truth | Mammootty, Murali | Crime, Thriller | police, investigation, conspiracy, crime
August 1 | Mammootty, Captain Raju | Thriller, Crime | assassination, police, politics, investigation
Commissioner | Suresh Gopi, Ratheesh | Action, Crime | police, corruption, investigation, justice
Lelam | Suresh Gopi, N. F. Varghese | Action, Crime | business, rivalry, family, revenge
Nariman | Suresh Gopi, Siddique | Crime, Thriller | lawyer, police, murder, justice
Crime File | Suresh Gopi, Siddique | Crime, Mystery | murder, church, investigation, police
Paleri Manikyam: Oru Pathirakolapathakathinte Katha | Mammootty, Shweta Menon | Mystery, Crime | murder, village, investigation, history
Big B | Mammootty, Manoj K. Jayan | Action, Crime | revenge, family, crime, city
Mumbai Police | Prithviraj Sukumaran, Jayasurya | Crime, Thriller | police, murder, memory, investigation
Memories | Prithviraj Sukumaran, Mia George | Crime, Thriller | police, serial killer, investigation, trauma
Anjaam Pathiraa | Kunchacko Boban, Sharafudheen | Crime, Thriller | serial killer, police, investigation, psychology
Joseph | Joju George, Dileesh Pothan | Crime, Drama | retired police, murder, investigation, family
Nayattu | Kunchacko Boban, Joju George | Crime, Thriller | police, politics, election, survival
Kurup | Dulquer Salmaan, Sobhita Dhulipala | Crime, Thriller | fraud, fugitive, mystery, crime
Iratta | Joju George, Anjali | Crime, Thriller | twins, police, murder, identity
Kannur Squad | Mammootty, Rony David | Crime, Thriller | police, investigation, murder, travel
