Title | Actors | Genre | Keywords
Azhakiya Ravanan | Mammootty, Bhanupriya | Comedy, Romance | love, village, friendship, filmmaker
Kaliyoonjal | Mammootty, Shobana | Drama, Romance | family, love, childhood, relationships
Harikrishnans | Mohanlal, Mammootty | Comedy, Mystery | friends, lawyer, murder, romance
Usthad | Mohanlal, Divya Unni | Action, Drama | family, crime, brotherhood, revenge
Olympian Anthony Adam | Mohanlal, Meena | Drama, Crime | police, child, family, investigation
Vanaprastham | Mohanlal, Suhasini Maniratnam | Drama | Kathakali, identity, caste, art
Ayalum Njanum Thammil | Prithviraj Sukumaran, Pratap Pothen | Drama | doctors, friendship, mentorship, medicine
Summer in Bethlehem | Suresh Gopi, Jayaram | Romance, Drama | family, friendship, love, mystery
Friends | Jayaram, Sreenivasan | Comedy, Drama | friendship, family, relationships, village
Njangal Santhushtaranu | Jayaram, Abhirami | Comedy, Family | marriage, family, relationships, humor
Vazhunnor | Suresh Gopi, Janardhanan | Action, Drama | family, revenge, crime, business
Lelam | Suresh Gopi, N. F. Varghese | Action, Crime | business, rivalry, family, revenge
Pathram | Suresh Gopi, Manju Warrier | Thriller, Drama | journalism, politics, crime, investigation
F.I.R. | Suresh Gopi, Indraja | Action, Thriller | police, terrorism, investigation, crime
Nariman | Suresh Gopi, Siddique | Crime, Thriller | lawyer, police, murder, justice
Crime File | Suresh Gopi, Siddique | Crime, Mystery | murder, church, investigation, police
Udayapuram Sulthan | Dileep, Captain Raju | Comedy, Drama | family, village, politics, rivalry
Kunjikoonan | Dileep, Navya Nair | Comedy, Romance | twins, village, love, identity
Thenkasipattanam | Suresh Gopi, Lal | Comedy, Romance | friendship, village, love, family
Meghamalhar | Biju Menon, Samyuktha Varma | Romance, Drama | love, rain, music, relationships
