Title | Actors | Genre | Keywords
Kamaladalam | Mohanlal, Monisha | Drama, Music | dance, guru, ambition, relationships
Kilukkam | Mohanlal, Revathi | Comedy, Romance | tourist, mistaken identity, friendship, hill station
Midhunam | Mohanlal, Urvashi | Comedy, Drama | marriage, business, family, middle class
Thenmavin Kombathu | Mohanlal, Shobana | Comedy, Romance | village, friendship, love, rivalry
Minnaram | Mohanlal, Shobana | Romance, Comedy | love, family, secrets, friendship
Chenkol | Mohanlal, Surabhi | Drama | crime, prison, family, redemption
Devasuram | Mohanlal, Revathi | Action, Drama | feudalism, revenge, music, family
Spadikam | Mohanlal, Thilakan | Drama, Action | father-son, education, conflict, village
Mannar Mathai Speaking | Mukesh, Sai Kumar, Innocent | Comedy | theatre, friendship, rivalry, business
In Harihar Nagar | Mukesh, Sidhique, Ashokan | Comedy, Mystery | friends, mystery, romance, neighborhood
Ayalathe Adheham | Jayaram, Gautami | Comedy, Romance | marriage, friendship, family, village
Meesamadhavan | Dileep, Kavya Madhavan | Comedy, Romance | thief, village, love, family
Punjabi House | Dileep, Harisree Ashokan | Comedy | unemployment, friendship, family, mistaken identity
Nadodikkattu | Mohanlal, Sreenivasan | Comedy | unemployment, friendship, Dubai, adventure
Pranchiyettan & the Saint | Mammootty, Innocent | Comedy, Drama | businessman, ambition, status, satire
Chronic Bachelor | Mammootty, Mukesh | Comedy, Romance | bachelor, family, friendship, marriage
Vatsalyam | Mammootty, Geethu Mohandas | Drama | family, brotherhood, sacrifice, village
Ponthan Mada | Mammootty, Naseeruddin Shah | Drama, Historical | colonialism, friendship, class, Kerala
Sainyam | Mammootty, Mukesh | Action, Drama | military, friendship, duty, training
The King | Mammootty, Vani Viswanath | Action, Thriller | collector, politics, corruption, investigation
