Title | Actors | Genre | Keywords
Yavanika | Bharath Gopi, Jalaja | Mystery, Drama | theatre, murder, investigation, secrets
Oru CBI Diary Kurippu | Mammootty, Suresh Gopi | Crime, Mystery | CBI, murder, investigation, clues
Jagratha | Mammootty, Suresh Gopi | Crime, Mystery | CBI, murder, investigation, evidence
Sethurama Iyer CBI | Mammootty, Sreenivasan | Crime, Mystery | CBI, murder, investigation, clues
Nerariyan CBI | Mammootty, Mukesh | Crime, Mystery | CBI, murder, investigation, mystery
August 1 | Mammootty, Captain Raju | Thriller, Crime | assassination, police, politics, investigation
The Truth | Mammootty, Murali | Thriller, Crime | police, investigation, conspiracy, crime
Pathram | Suresh Gopi, Manju Warrier | Thriller, Drama | journalism, politics, crime, investigation
Crime File | Suresh Gopi, Siddique | Crime, Mystery | murder, church, investigation, police
Mumbai Police | Prithviraj Sukumaran, Jayasurya | Crime, Thriller | police, murder, memory, investigation
Memories | Prithviraj Sukumaran, Mia George | Crime, Thriller | police, serial killer, investigation, trauma
7th Day | Prithviraj Sukumaran, Anu Mohan | Mystery, Thriller | police, mystery, investigation, crime
Anjaam Pathiraa | Kunchacko Boban, Sharafudheen | Crime, Thriller | serial killer, police, investigation, psychology
Forensic | Tovino Thomas, Mamta Mohandas | Crime, Thriller | forensics, murder, investigation, serial killer
Kooman | Asif Ali, Renji Panicker | Crime, Thriller | police, village, investigation, theft
Iratta | Joju George, Anjali | Crime, Thriller | twins, police, murder, identity
Kishkindha Kaandam | Asif Ali, Vijayaraghavan | Mystery, Thriller | forest, family, disappearance, investigation
Ela Veezha Poonchira | Soubin Shahir, Sudhi Koppa | Crime, Thriller | police, murder, hill station, investigation
C U Soon | Fahadh Faasil, Roshan Mathew | Thriller, Mystery | online, technology, disappearance, investigation
Rorschach | Mammootty, Grace Antony | Psychological, Thriller | revenge, mystery, identity, psychology
