Title | Actors | Genre | Keywords
Narasimham | Mohanlal, N. F. Varghese | Action, Drama | revenge, family, politics, power
Ravanaprabhu | Mohanlal, Napoleon | Action, Drama | family, feudalism, revenge, village
Udayon | Mohanlal, Meena | Drama, Action | family, land, village, revenge
Naran | Mohanlal, Jagathy Sreekumar | Action, Drama | village, family, revenge, heroism
Thanmathra | Mohanlal, Meera Vasudevan | Drama | memory, family, illness, relationships
Drishyam | Mohanlal, Meena | Crime, Thriller, Drama | family, murder, investigation, protection
Traffic | Sreenivasan, Kunchacko Boban | Thriller, Drama | traffic, organ donation, police, teamwork
Mumbai Police | Prithviraj Sukumaran, Jayasurya | Crime, Thriller | police, murder, memory, investigation
Memories | Prithviraj Sukumaran, Mia George | Crime, Thriller | police, serial killer, investigation, trauma
Anjaam Pathiraa | Kunchacko Boban, Sharafudheen | Crime, Thriller | serial killer, police, investigation, psychology
Forensic | Tovino Thomas, Mamta Mohandas | Crime, Thriller | forensics, murder, investigation, serial killer
7th Day | Prithviraj Sukumaran, Anu Mohan | Mystery, Thriller | police, mystery, investigation, crime
Mumbai Police | Prithviraj Sukumaran, Jayasurya | Crime, Thriller | police, memory, murder, investigation
Classmates | Prithviraj Sukumaran, Kavya Madhavan | Romance, Mystery | college, friendship, reunion, murder
Notebook | Roma, Parvathy Thiruvothu | Drama, Romance | college, friendship, pregnancy, youth
Chocolate | Prithviraj Sukumaran, Roma | Romance, Comedy | college, friendship, romance, campus
Puthiya Niyamam | Mammootty, Nayanthara | Thriller, Drama | lawyer, family, crime, revenge
Munnariyippu | Mammootty, Aparna Gopinath | Thriller, Drama | prison, writer, mystery, psychology
Pathemari | Mammootty, Jewel Mary | Drama | migration, Gulf, family, sacrifice
Unda | Mammootty, Shine Tom Chacko | Comedy, Drama | police, election, duty, teamwork
