Title | Actors | Genre | Keywords
Oru Vadakkan Veeragatha | Mammootty, Suresh Gopi | Historical, Drama | warrior, Kerala, revenge, history
Mathilukal | Mammootty, Murali | Drama, Romance | prison, letters, loneliness, love
Vidheyan | Mammootty, Gopalakrishnan | Drama | landlord, servant, power, oppression
Ponthan Mada | Mammootty, Naseeruddin Shah | Drama, Historical | colonialism, friendship, class, Kerala
Vatsalyam | Mammootty, Geethu Mohandas | Drama | family, brotherhood, sacrifice, village
Rajamanikyam | Mammootty, Manoj K. Jayan | Comedy, Action | brotherhood, family, business, village
Big B | Mammootty, Manoj K. Jayan | Action, Crime | revenge, family, crime, city
Paleri Manikyam | Mammootty, Shweta Menon | Mystery, Crime | murder, village, investigation, history
Pranchiyettan and the Saint | Mammootty, Innocent | Comedy, Drama | businessman, ambition, status, satire
Kerala Varma Pazhassi Raja | Mammootty, Sarath Kumar | Historical, Action | warrior, British, resistance, history
Pathemari | Mammootty, Jewel Mary | Drama | migration, Gulf, family, sacrifice
Unda | Mammootty, Shine Tom Chacko | Comedy, Drama | police, election, duty, teamwork
Peranbu | Mammootty, Anjali Ameer | Drama | fatherhood, disability, family, compassion
Munnariyippu | Mammootty, Aparna Gopinath | Thriller, Drama | prison, writer, mystery, psychology
Puzhu | Mammootty, Parvathy Thiruvothu | Drama, Thriller | family, caste, control, relationships
Rorschach | Mammootty, Grace Antony | Psychological, Thriller | revenge, mystery, identity, psychology
Bheeshma Parvam | Mammootty, Soubin Shahir | Action, Crime | family, gangster, Kochi, power
Kaathal – The Core | Mammootty, Jyothika | Drama | marriage, identity, family, society
Kannur Squad | Mammootty, Rony David | Crime, Thriller | police, investigation, murder, travel
Turbo | Mammootty, Raj B. Shetty | Action, Comedy | jeep, gangster, revenge, friendship
