Title | Actors | Genre | Keywords
Pattanapravesham | Mohanlal, Sreenivasan | Comedy | police, friendship, investigation, city
Akkare Ninnoru Maran | Prem Nazir, Sreenivasan | Comedy | village, mystery, family, comedy
Chandralekha | Mohanlal, Sreenivasan | Comedy, Romance | hotel, mistaken identity, friendship, love
Vellanakalude Nadu | Mohanlal, Shobana | Comedy, Satire | politics, corruption, city, satire
Aram + Aram = Kinnaram | Mohanlal, Shankar | Comedy | friendship, family, romance, misunderstandings
In Harihar Nagar | Mohanlal, Sreenivasan | Comedy, Mystery | friends, neighborhood, mystery, romance
Ramji Rao Speaking | Mukesh, Sai Kumar, Innocent | Comedy | unemployment, kidnapping, friendship, money
Mannar Mathai Speaking | Mukesh, Sai Kumar, Innocent | Comedy | theatre, friendship, rivalry, comedy
Nadodikkattu | Mohanlal, Sreenivasan | Comedy | unemployment, friendship, travel, Dubai
Ayalvasi Oru Daridravasi | Prem Nazir, Mukesh | Comedy | neighbors, family, money, misunderstanding
Chithram | Mohanlal, Ranjini | Comedy, Romance | music, marriage, mystery, family
Vandanam | Mohanlal, Girija Shettar | Comedy, Romance | police, love, investigation, friendship
Season | Mohanlal, Shari | Crime, Thriller | smuggling, revenge, investigation, crime
Rajavinte Makan | Mohanlal, Ratheesh | Action, Crime | gangster, politics, power, revenge
Irupatham Noottandu | Mohanlal, Suresh Gopi | Action, Crime | gangster, smuggling, revenge, friendship
Narasimham | Mohanlal, N. F. Varghese | Action, Drama | revenge, family, politics, power
Moonnam Mura | Mohanlal, Suresh Gopi | Action, Thriller | hostage, police, rescue, crime
Adhipan | Mohanlal, Monisha | Drama, Crime | lawyer, crime, family, justice
Aryan | Mohanlal, Ramya Krishnan | Action, Drama | smuggling, family, revenge, friendship
Kamaladalam | Mohanlal, Monisha | Drama, Music | dance, guru, ambition, relationships
