Title | Actors | Genre | Keywords
Bheeshma Parvam | Mammootty, Soubin Shahir | Action, Crime | family, gangster, Kochi, power
Rorschach | Mammootty, Grace Antony | Psychological, Thriller | revenge, mystery, identity, psychology
Kannur Squad | Mammootty, Rony David | Crime, Thriller | police, investigation, murder, travel
Turbo | Mammootty, Raj B. Shetty | Action, Comedy | jeep, gangster, revenge, friendship
Abraham Ozler | Jayaram, Mammootty | Crime, Thriller | police, murders, investigation, mystery
Kaathal – The Core | Mammootty, Jyothika | Drama | marriage, identity, family, society
Nanpakal Nerathu Mayakkam | Mammootty, Ramya Pandian | Drama, Mystery | identity, village, sleep, transformation
Puzhu | Mammootty, Parvathy Thiruvothu | Drama, Thriller | family, caste, control, relationships
Rorschach | Mammootty, Kottayam Ramesh | Psychological, Thriller | revenge, trauma, mystery, identity
Christopher | Mammootty, Sneha | Crime, Thriller | police, serial killer, justice, investigation
Jana Gana Mana | Prithviraj Sukumaran, Suraj Venjaramoodu | Legal, Political | courtroom, justice, politics, crime
Driving Licence | Prithviraj Sukumaran, Suraj Venjaramoodu | Comedy, Drama | celebrity, driving, ego, conflict
Ayyappanum Koshiyum | Prithviraj Sukumaran, Biju Menon | Action, Drama | police, ego, village, conflict
Kuruthi | Prithviraj Sukumaran, Roshan Mathew | Thriller, Drama | religion, conflict, survival, family
Kaduva | Prithviraj Sukumaran, Vivek Oberoi | Action, Drama | revenge, police, rivalry, village
Jana Gana Mana | Prithviraj Sukumaran, Mamta Mohandas | Legal, Political | college, justice, politics, activism
Forensic | Tovino Thomas, Mamta Mohandas | Crime, Thriller | forensics, serial killer, investigation, evidence
Kala | Tovino Thomas, Sumesh Moor | Action, Thriller | family, revenge, violence, farm
Thallumala | Tovino Thomas, Kalyani Priyadarshan | Action, Comedy | wedding, friendship, fights, youth
2018 | Tovino Thomas, Kunchacko Boban | Disaster, Drama | flood, Kerala, rescue, survival
