Title | Actors | Genre | Keywords
Malarvaadi Arts Club | Nivin Pauly, Aju Varghese | Comedy, Drama | friends, village, music, youth
Thattathin Marayathu | Nivin Pauly, Isha Talwar | Romance, Drama | love, religion, college, youth
1983 | Nivin Pauly, Anupama Parameswaran | Sports, Drama | cricket, childhood, family, dreams
Ohm Shanthi Oshaana | Nivin Pauly, Nazriya Nazim | Romance, Comedy | college, crush, friendship, youth
Bangalore Days | Nivin Pauly, Dulquer Salmaan | Romance, Drama | cousins, friendship, Bangalore, dreams
Premam | Nivin Pauly, Sai Pallavi | Romance, Comedy | college, love, friendship, adulthood
Oru Vadakkan Selfie | Nivin Pauly, Aju Varghese | Comedy | friends, travel, filmmaking, mistakes
Action Hero Biju | Nivin Pauly, Anu Emmanuel | Comedy, Crime | police, investigation, city, cases
Jacobinte Swargarajyam | Nivin Pauly, Renji Panicker | Drama | family, Dubai, business, resilience
Sakhavu | Nivin Pauly, Aishwarya Rajesh | Drama, Political | politics, college, friendship, activism
Moothon | Nivin Pauly, Sanjana Dipu | Drama, Crime | Mumbai, identity, family, love
Love Action Drama | Nivin Pauly, Nayanthara | Romance, Comedy | marriage, friendship, relationships, city
Kanaka Muni | Nivin Pauly, Sai Pallavi | Drama, Romance | love, youth, village, family
Hey Jude | Nivin Pauly, Trisha Krishnan | Romance, Drama | autism, friendship, travel, relationships
Njandukalude Naatil Oridavela | Nivin Pauly, Aishwarya Lekshmi | Comedy, Drama | family, illness, marriage, relationships
Richie | Nivin Pauly, Natarajan Subramaniam | Crime, Drama | journalist, revenge, fishing village, crime
Padavettu | Nivin Pauly, Aditi Balan | Drama, Political | village, politics, farmers, resistance
Kanakam Kamini Kalaham | Nivin Pauly, Grace Antony | Comedy | hotel, marriage, conflict, satire
Mikhael | Nivin Pauly, Unni Mukundan | Action, Drama | family, revenge, crime, brotherhood
Kayamkulam Kochunni | Nivin Pauly, Mohanlal | Historical, Action | thief, Kerala, friendship, history
