Title | Actors | Genre | Keywords
Meesha Madhavan | Dileep, Kavya Madhavan | Comedy, Romance | thief, village, love, family
C.I.D. Moosa | Dileep, Bhavana | Comedy, Mystery | detective, dog, crime, comedy
Kalyanaraman | Dileep, Navya Nair | Comedy, Romance | marriage, family, village, love
Punjabi House | Dileep, Harisree Ashokan | Comedy | unemployment, friendship, family, misunderstanding
Pandippada | Dileep, Prakash Raj | Comedy | land, family, village, rivalry
Vettam | Dileep, Bhavana | Comedy, Romance | travel, mistaken identity, wedding, chase
Kunjikoonan | Dileep, Navya Nair | Comedy, Romance | twins, identity, village, love
Chathikkatha Chanthu | Jayasurya, Dileep | Comedy, Romance | film, friendship, love, revenge
Runway | Dileep, Kavya Madhavan | Action, Drama | smuggling, family, airport, crime
Lion | Dileep, Kavya Madhavan | Political, Drama | politics, family, leadership, village
Twenty:20 | Mohanlal, Mammootty, Dileep | Action, Drama | family, crime, stars, friendship
My Boss | Dileep, Mamta Mohandas | Comedy, Romance | boss, employee, office, marriage
Two Countries | Dileep, Mamta Mohandas | Comedy, Romance | Canada, marriage, immigration, family
Kunjiramayanam | Vineeth Sreenivasan, Dhyan Sreenivasan | Comedy | village, friendship, marriage, humor
Sound Thoma | Dileep, Mukesh | Comedy, Drama | family, village, speech, relationships
Marykkundoru Kunjaadu | Dileep, Bhavana | Comedy, Romance | village, priest, marriage, friendship
Bodyguard | Dileep, Nayanthara | Romance, Drama | bodyguard, love, family, protection
Passenger | Dileep, Sreenivasan | Thriller, Drama | journey, crime, friendship, rescue
Arike | Dileep, Mamta Mohandas | Romance, Drama | love, relationships, city, choices
Sound Thoma | Dileep, Mukesh | Comedy, Drama | family, village, relationships, humor
