Title | Actors | Genre | Keywords
Rajavinte Makan | Mohanlal, Ratheesh | Action, Crime | gangster, politics, power, revenge
Irupatham Noottandu | Mohanlal, Suresh Gopi | Action, Crime | gangster, smuggling, revenge, friendship
Aryan | Mohanlal, Ramya Krishnan | Action, Drama | smuggling, family, revenge, friendship
Narasimham | Mohanlal, N. F. Varghese | Action, Drama | revenge, family, politics, power
Aaram Thamburan | Mohanlal, Narendra Prasad | Action, Drama | feudalism, music, revenge, village
Devasuram | Mohanlal, Revathi | Action, Drama | feudalism, revenge, music, family
Ravanaprabhu | Mohanlal, Napoleon | Action, Drama | family, feudalism, revenge, village
Spadikam | Mohanlal, Thilakan | Action, Drama | father-son, education, conflict, village
The King | Mammootty, Vani Viswanath | Action, Thriller | collector, politics, corruption, investigation
Lelam | Suresh Gopi, N. F. Varghese | Action, Crime | business, rivalry, family, revenge
Narasimham | Mohanlal, N. F. Varghese | Action, Drama | family, revenge, politics, power
Big B | Mammootty, Manoj K. Jayan | Action, Crime | revenge, family, crime, city
Rajamanikyam | Mammootty, Manoj K. Jayan | Action, Comedy | brotherhood, family, business, village
Pokkiri Raja | Mammootty, Prithviraj Sukumaran | Action, Comedy | brothers, village, family, revenge
Lucifer | Mohanlal, Prithviraj Sukumaran | Action, Political | politics, power, crime, family
Kaduva | Prithviraj Sukumaran, Vivek Oberoi | Action, Drama | revenge, police, rivalry, village
Ayyappanum Koshiyum | Prithviraj Sukumaran, Biju Menon | Action, Drama | police, ego, village, conflict
RDX: Robert Dony Xavier | Shane Nigam, Antony Varghese | Action, Drama | martial arts, friendship, revenge, family
Thallumala | Tovino Thomas, Kalyani Priyadarshan | Action, Comedy | wedding, friendship, fights, youth
Turbo | Mammootty, Raj B. Shetty | Action, Comedy | jeep, gangster, revenge, friendship
