Title | Actors | Genre | Keywords
Kilukkam | Mohanlal, Revathi | Comedy, Romance | tourism, mistaken identity, friendship, comedy
Mookkilla Rajyathu | Mukesh, Sreenivasan | Comedy | hospital, friendship, escape, humor
Akkare Ninnoru Maran | Prem Nazir, Sreenivasan | Comedy | village, mystery, family, humor
Nadodikkattu | Mohanlal, Sreenivasan | Comedy | unemployment, friendship, Dubai, travel
Pattanapravesham | Mohanlal, Sreenivasan | Comedy | police, investigation, friendship, city
Ramji Rao Speaking | Mukesh, Sai Kumar, Innocent | Comedy | kidnapping, unemployment, friendship, money
Mannar Mathai Speaking | Mukesh, Sai Kumar, Innocent | Comedy | theatre, friendship, rivalry, comedy
Punjabi House | Dileep, Harisree Ashokan | Comedy | unemployment, friendship, family, misunderstanding
Meesamadhavan | Dileep, Kavya Madhavan | Comedy, Romance | thief, village, love, family
Chathikkatha Chanthu | Jayasurya, Navya Nair | Comedy, Romance | film, friendship, love, revenge
Vettam | Dileep, Bhavana | Comedy, Romance | travel, mistaken identity, wedding, chase
C.I.D. Moosa | Dileep, Bhavana | Comedy, Mystery | detective, dog, crime, comedy
Pandippada | Dileep, Prakash Raj | Comedy | land, family, village, rivalry
Kalyanaraman | Dileep, Navya Nair | Comedy, Romance | marriage, family, village, love
Kunjikoonan | Dileep, Navya Nair | Comedy, Romance | twins, identity, village, love
My Boss | Dileep, Mamta Mohandas | Comedy, Romance | boss, employee, office, marriage
Two Countries | Dileep, Mamta Mohandas | Comedy, Romance | Canada, marriage, immigration, family
Adi Kapyare Koottamani | Dhyan Sreenivasan, Neeraj Madhav | Comedy | hostel, friendship, ghost, college
Aadu | Jayasurya, Saiju Kurup | Comedy | goat, friends, village, chaos
Aadu 2 | Jayasurya, Saiju Kurup | Comedy | goat, friendship, revenge, adventure
