Title | Actors | Genre | Keywords
Commissioner | Suresh Gopi, Ratheesh | Action, Crime | police, corruption, investigation, justice
Lelam | Suresh Gopi, N. F. Varghese | Action, Crime | business, rivalry, family, revenge
Pathram | Suresh Gopi, Manju Warrier | Thriller, Drama | journalism, politics, crime, investigation
Nariman | Suresh Gopi, Siddique | Crime, Thriller | lawyer, police, murder, justice
Crime File | Suresh Gopi, Siddique | Crime, Mystery | murder, church, investigation, police
F.I.R. | Suresh Gopi, Indraja | Action, Thriller | police, terrorism, investigation, crime
The King | Suresh Gopi, Vani Viswanath | Action, Thriller | collector, politics, corruption, investigation
Mahathma | Suresh Gopi, Geethu Mohandas | Drama, Political | politics, family, revenge, society
Rajaputhran | Suresh Gopi, Shobana | Action, Drama | politics, revenge, family, power
Ekalavyan | Suresh Gopi, Narendra Prasad | Action, Crime | police, politics, corruption, investigation
Mafia | Suresh Gopi, Babu Antony | Action, Crime | gangster, police, smuggling, revenge
Lelam | Suresh Gopi, Siddique | Action, Crime | business, family, rivalry, revenge
Chinthamani Kolacase | Suresh Gopi, Bhavana | Crime, Thriller | lawyer, murder, justice, investigation
Bharathchandran I.P.S. | Suresh Gopi, Lal | Action, Crime | police, corruption, justice, investigation
IG | Suresh Gopi, Ann Augustine | Action, Crime | police, investigation, terrorism, crime
Janakan | Suresh Gopi, Biju Menon | Crime, Drama | lawyer, justice, family, revenge
Kaliyattam | Suresh Gopi, Manju Warrier | Drama, Tragedy | theatre, jealousy, relationships, tragedy
Thalasthanam | Suresh Gopi, Narendra Prasad | Political, Drama | politics, corruption, family, power
Nariman | Suresh Gopi, Siddique | Crime, Thriller | lawyer, murder, justice, police
Summer in Bethlehem | Suresh Gopi, Jayaram | Romance, Drama | family, friendship, love, mystery
